datetime,demand (TWh),weather year
2050-01-01,2028.98,2012
2050-01-02,2157.12,2012
2050-01-03,2374.84,2012
2050-01-04,2447.98,2012
2050-01-05,2426.7799999999997,2012
2050-01-06,2361.08,2012
2050-01-07,2308.66,2012
2050-01-08,2125.65,2012
2050-01-09,2315.31,2012
2050-01-10,2330.66,2012
2050-01-11,2321.75,2012
2050-01-12,2433.88,2012
2050-01-13,2350.23,2012
2050-01-14,2358.57,2012
2050-01-15,2357.2400000000002,2012
2050-01-16,2505.9700000000003,2012
2050-01-17,2558.67,2012
2050-01-18,2487.5,2012
2050-01-19,2397.79,2012
2050-01-20,2415.92,2012
2050-01-21,2316.24,2012
2050-01-22,2224.3,2012
2050-01-23,2366.4900000000002,2012
2050-01-24,2429.02,2012
2050-01-25,2451.3,2012
2050-01-26,2392.08,2012
2050-01-27,2383.46,2012
2050-01-28,2240.26,2012
2050-01-29,2372.64,2012
2050-01-30,2519.97,2012
2050-01-31,2596.15,2012
2050-02-01,2660.36,2012
2050-02-02,2608.65,2012
2050-02-03,2614.05,2012
2050-02-04,2630.44,2012
2050-02-05,2479.73,2012
2050-02-06,2492.69,2012
2050-02-07,2528.32,2012
2050-02-08,2729.31,2012
2050-02-09,2642.92,2012
2050-02-10,2625.0,2012
2050-02-11,2558.88,2012
2050-02-12,2456.09,2012
2050-02-13,2518.0099999999998,2012
2050-02-14,2454.21,2012
2050-02-15,2448.8,2012
2050-02-16,2341.62,2012
2050-02-17,2291.42,2012
2050-02-18,2330.83,2012
2050-02-19,2217.94,2012
2050-02-20,2448.18,2012
2050-02-21,2387.14,2012
2050-02-22,2358.67,2012
2050-02-23,2317.95,2012
2050-02-24,2185.21,2012
2050-02-25,2202.35,2012
2050-02-26,2096.0,2012
2050-02-27,2337.92,2012
2050-02-28,2257.21,2012
2050-03-01,2186.61,2012
2050-03-02,2187.63,2012
2050-03-03,2192.62,2012
2050-03-04,2286.31,2012
2050-03-05,2104.76,2012
2050-03-06,2295.91,2012
2050-03-07,2360.11,2012
2050-03-08,2435.58,2012
2050-03-09,2349.41,2012
2050-03-10,2285.44,2012
2050-03-11,2219.88,2012
2050-03-12,2052.23,2012
2050-03-13,2150.98,2012
2050-03-14,2208.83,2012
2050-03-15,2228.52,2012
2050-03-16,2283.98,2012
2050-03-17,2271.34,2012
2050-03-18,2242.15,2012
2050-03-19,2054.04,2012
2050-03-20,2255.65,2012
2050-03-21,2336.97,2012
2050-03-22,2185.26,2012
2050-03-23,2168.4100000000003,2012
2050-03-24,2113.89,2012
2050-03-25,2119.02,2012
2050-03-26,1934.88,2012
2050-03-27,2067.55,2012
2050-03-28,2091.5,2012
2050-03-29,2102.57,2012
2050-03-30,2158.45,2012
2050-03-31,2032.94,2012
2050-04-01,2030.84,2012
2050-04-02,1954.86,2012
2050-04-03,2118.07,2012
